Date,Open,High,Low,Close,Volume,,,
2024-04-12,4753.90,4806.75,4725,4765.05,676863,2024-04-12,,
2024-04-15,4680.00,4736.549805,4620.600098,4686.80,358707,2024-04-15,,
2024-04-16,4650.00,4689.299805,4611.350098,4644.30,245231,2024-04-16,,
2024-04-18,4644.30,4694.299805,4605,4627.10,417772,2024-04-18,,
2024-04-19,4766.95,4836.700195,4651.100098,4696.00,778084,2024-04-19,,
2024-04-22,4743.00,4815.950195,4692.049805,4758.00,257706,2024-04-22,,
2024-04-23,4804.50,4890,4773,4800.55,458148,2024-04-23,,
2024-04-24,4820.00,4835.700195,4778,4797.55,199877,2024-04-24,,
2024-04-25,4801.00,4817.649902,4615.149902,4657.10,462020,2024-04-25,,
2024-04-26,4657.05,4719.950195,4531.5,4553.15,254510,2024-04-26,,
2024-04-29,4560.50,4562.450195,4450,4483.80,385596,2024-04-29,,
2024-04-30,4455.15,4650,4455.149902,4603.80,637696,2024-04-30,,
2024-05-02,4609.95,4642.450195,4578,4605.05,256067,2024-05-02,,
2024-05-03,4626.95,4627,4545.049805,4612.35,436785,2024-05-03,,
2024-05-06,4620.00,4739.899902,4576,4600.60,643041,2024-05-06,,
2024-05-07,4619.95,4698,4581,4660.45,431030,2024-05-07,,
2024-05-08,4674.80,4863.799805,4670,4806.75,829723,2024-05-08,,
2024-05-09,4806.75,4895.600098,4730,4798.65,618014,2024-05-09,,
2024-05-10,4798.65,4852,4735.850098,4796.80,290601,2024-05-10,,
2024-05-13,4799.95,4809,4667,4693.70,190782,2024-05-13,,
2024-05-14,4739.00,4755,4550.350098,4597.05,376741,2024-05-14,,
2024-05-15,4614.95,4680,4597.100098,4652.45,298259,2024-05-15,,
2024-05-16,4674.30,4699,4660.049805,4671.25,519285,2024-05-16,,
2024-05-17,4680.00,4710,4665.049805,4682.90,203113,2024-05-17,,
2024-05-21,4670.00,4737.450195,4605.450195,4705.90,179171,2024-05-21,,
2024-05-22,4763.15,4924.200195,4737.149902,4798.80,716981,2024-05-22,,
2024-05-23,4794.50,4812,4755.799805,4793.55,151025,2024-05-23,,
2024-05-24,4797.90,4841.399902,4674.100098,4684.50,307316,2024-05-24,,
2024-05-27,4651.55,4669,4508,4537.35,392853,2024-05-27,,
2024-05-28,4551.90,4588.850098,4440.200195,4474.45,224693,2024-05-28,,
2024-05-29,4474.00,4564.850098,4435.100098,4476.85,234524,2024-05-29,,
2024-05-30,4475.90,4497.25,4410,4444.95,141706,2024-05-30,,
2024-05-31,4440.00,4450,4250.399902,4302.15,866438,2024-05-31,,
2024-06-03,4392.95,4400,4301,4349.35,279797,2024-06-03,,
2024-06-04,4399.00,4590,4355.649902,4548.75,1093378,2024-06-04,,
2024-06-05,4590.00,4900,4562.200195,4862.25,1495770,2024-06-05,,
2024-06-06,4861.95,4861.950195,4675.25,4687.05,664303,2024-06-06,,
2024-06-07,4700.00,4806.350098,4690.75,4747.25,352969,2024-06-07,,
2024-06-10,4769.05,4812,4688,4778.40,276907,2024-06-10,,
2024-06-11,4800.00,4829.899902,4676,4701.45,266806,2024-06-11,,
2024-06-12,4710.05,4740,4645,4666.75,555091,2024-06-12,,
2024-06-13,4697.25,4739.950195,4640.049805,4656.65,238268,2024-06-13,,
2024-06-14,4692.00,4759.950195,4671.049805,4739.95,258982,2024-06-14,,
2024-06-18,4739.95,5080,4734.799805,5039.30,2054168,2024-06-18,,
2024-06-19,5079.00,5219,4901.350098,4933.90,1438750,2024-06-19,,
2024-06-20,4947.45,5022.5,4832.200195,4861.70,577843,2024-06-20,,
2024-06-21,4928.00,5082.950195,4763,4804.85,726519,2024-06-21,,
2024-06-24,4792.00,4875,4765.850098,4833.70,356824,2024-06-24,,
2024-06-25,4850.00,4905,4755,4783.35,376890,2024-06-25,,
2024-06-26,4775.00,4823.950195,4690,4801.00,546313,2024-06-26,,
2024-06-27,4819.95,4960,4738,4900.10,503719,2024-06-27,,
2024-06-28,4900.00,4921.950195,4680,4716.75,685009,2024-06-28,,
2024-07-01,4725.10,4754.450195,4612.5,4735.90,642169,2024-07-01,,
2024-07-02,4759.10,4825.25,4719.549805,4773.85,360009,2024-07-02,,
2024-07-03,4760.00,4810.899902,4700.700195,4792.90,799111,2024-07-03,,
2024-07-04,4785.10,4825,4725,4768.10,317759,2024-07-04,,
2024-07-05,4768.85,4871,4742.799805,4853.10,359691,2024-07-05,,
2024-07-08,4860.00,4935.200195,4820,4851.55,706765,2024-07-08,,
2024-07-09,4853.10,4893.950195,4780,4806.35,421547,2024-07-09,,
2024-07-10,4825.00,4894.350098,4731.100098,4834.45,284146,2024-07-10,,
2024-07-11,4853.90,4969,4832.25,4898.90,568246,2024-07-11,,
2024-07-12,4939.90,5016.950195,4909,4943.65,598090,2024-07-12,,
2024-07-15,5126.45,5164,4943.649902,4988.85,1405587,2024-07-15,,
2024-07-16,5000.00,5104,4979,5039.85,1062769,2024-07-16,,
2024-07-18,5039.85,5096.950195,5028,5083.45,837644,2024-07-18,,
2024-07-19,5062.10,5078.5,4955,5010.70,444963,2024-07-19,,
2024-07-22,4955.00,5031.950195,4922.75,5012.85,559762,2024-07-22,,
2024-07-23,5013.00,5095.450195,4925.100098,5065.25,431809,2024-07-23,,
2024-07-24,5100.00,5205,5082.649902,5158.45,630155,2024-07-24,,
2024-07-25,5148.00,5184.899902,5058.100098,5171.35,393012,2024-07-25,,
2024-07-26,5199.00,5199,5040,5071.60,234445,2024-07-26,,
2024-07-29,5144.00,5144,5041.799805,5112.85,206613,2024-07-29,,
2024-07-30,5140.00,5175.549805,5000.100098,5027.20,299951,2024-07-30,,
2024-07-31,5040.00,5068.899902,4910.200195,4935.95,912329,2024-07-31,,
2024-08-01,4949.00,5008,4883,4993.80,202176,2024-08-01,,
2024-08-02,4950.00,5029.75,4890.149902,4909.70,486355,2024-08-02,,
2024-08-05,4861.50,5010,4801,4817.45,715443,2024-08-05,,
2024-08-06,4818.15,5045.25,4818.149902,4909.90,798720,2024-08-06,,
2024-08-07,4960.00,5063.549805,4954.450195,5018.50,322153,2024-08-07,,
2024-08-08,5049.95,5063.899902,4942,4980.10,348300,2024-08-08,,
2024-08-09,5033.00,5063.799805,4971.350098,4989.95,102057,2024-08-09,,
2024-08-12,4999.00,5025,4960.549805,5013.80,167412,2024-08-12,,
2024-08-13,5039.95,5048,4905.5,4929.50,138438,2024-08-13,,
2024-08-14,4950.00,5020,4913.299805,4960.30,282580,2024-08-14,,
2024-08-16,4995.00,5025,4902.700195,5021.30,193826,2024-08-16,,
2024-08-19,5040.00,5048,4982.049805,5002.70,171799,2024-08-19,,
2024-08-20,5008.00,5095.950195,4987.700195,5079.20,320092,2024-08-20,,
2024-08-21,5095.00,5164,5051.850098,5099.45,796491,2024-08-21,,
2024-08-22,5145.00,5145,5021.149902,5057.85,353198,2024-08-22,,
